user_id,event_name,event_date
2,editor_opened,2024-09-27
4,editor_opened,2024-03-23
4,first_publish,2024-03-23
4,first_subscriber,2024-03-29
5,editor_opened,2024-01-17
5,first_publish,2024-01-19
5,first_subscriber,2024-01-23
6,editor_opened,2024-01-17
6,first_publish,2024-01-17
6,first_subscriber,2024-01-19
7,editor_opened,2024-01-08
8,editor_opened,2024-07-02
8,first_publish,2024-07-02
8,first_subscriber,2024-07-07
9,editor_opened,2024-03-23
9,first_publish,2024-03-26
10,editor_opened,2024-04-20
10,first_publish,2024-04-21
11,editor_opened,2024-01-02
12,editor_opened,2024-11-11
12,first_publish,2024-11-15
13,editor_opened,2024-06-09
13,first_publish,2024-06-10
13,first_subscriber,2024-06-13
15,editor_opened,2024-01-20
15,first_publish,2024-01-22
15,first_subscriber,2024-01-27
17,editor_opened,2024-02-02
18,editor_opened,2024-03-08
18,first_publish,2024-03-10
20,editor_opened,2024-02-02
21,editor_opened,2024-03-28
21,first_publish,2024-03-29
21,first_subscriber,2024-04-02
22,editor_opened,2024-01-15
24,editor_opened,2024-02-13
24,first_publish,2024-02-13
24,first_subscriber,2024-02-19
25,editor_opened,2024-02-24
25,first_publish,2024-02-24
25,first_subscriber,2024-02-28
26,editor_opened,2024-05-18
28,editor_opened,2024-03-06
28,first_publish,2024-03-07
29,editor_opened,2024-03-21
29,first_publish,2024-03-21
29,first_subscriber,2024-03-27
30,editor_opened,2024-01-06
30,first_publish,2024-01-09
30,first_subscriber,2024-01-15
31,editor_opened,2024-03-26
31,first_publish,2024-03-26
32,editor_opened,2024-01-17
34,editor_opened,2024-09-26
34,first_publish,2024-09-26
34,first_subscriber,2024-10-01
35,editor_opened,2024-11-01
38,editor_opened,2024-01-10
41,editor_opened,2024-01-14
43,editor_opened,2024-01-04
44,editor_opened,2024-08-05
45,editor_opened,2024-01-28
45,first_publish,2024-02-01
45,first_subscriber,2024-02-04
46,editor_opened,2024-04-08
47,editor_opened,2024-02-04
47,first_publish,2024-02-04
47,first_subscriber,2024-02-05
48,editor_opened,2024-03-07
48,first_publish,2024-03-08
48,first_subscriber,2024-03-08
49,editor_opened,2024-03-14
50,editor_opened,2024-01-19
51,editor_opened,2024-11-10
51,first_publish,2024-11-12
51,first_subscriber,2024-11-12
55,editor_opened,2024-03-22
55,first_publish,2024-03-25
55,first_subscriber,2024-03-29
56,editor_opened,2024-08-18
56,first_publish,2024-08-22
56,first_subscriber,2024-08-26
57,editor_opened,2024-01-11
58,editor_opened,2024-01-22
58,first_publish,2024-01-22
58,first_subscriber,2024-01-22
59,editor_opened,2024-01-05
60,editor_opened,2024-02-05
60,first_publish,2024-02-05
62,editor_opened,2024-01-30
64,editor_opened,2024-02-10
65,editor_opened,2024-01-30
65,first_publish,2024-02-02
